Segment,Times,PowerkW,EnergykWh,Rangem,Altitudem,Airspeedmps,TemperatureK,SpeedOfSoundmps,PressurePa,Densitykgpm3
TakeOff start,1,79.8949082058899,0,0,0,0,288.15,340.294124355681,101325,1.225
TakeOff end,16,79.8373932036201,0.332775627936479,0,15,0,288.0525,340.236547600122,101144.932645919,1.22323692099132
TransitionUp start,17,79.8949082058899,0.332775627936479,0,15,0,288.0525,340.236547600122,101144.932645919,1.22323692099132
TransitionUp end,47,36.4570434194231,0.817575426375284,0,15,36.8839967585394,288.0525,340.236547600122,101144.932645919,1.22323692099132
Climb start,48,39.2044999822846,0.817575426375284,0,15,39.6344338822034,288.0525,340.236547600122,101144.932645919,1.22323692099132
Climb end,318,40.269423690425,3.7978475641019,11202.777701876,1500,42.6158626310982,278.4,334.487393269163,84556.0063310531,1.05806739579022
Cruise start,319,18.9090348570388,3.7978475641019,11202.777701876,1500,67.056,278.4,334.487393269163,84556.0063310531,1.05806739579022
Cruise end,2705.06537819136,18.9090348570388,16.3306790661558,171202.777701876,1500,67.056,278.4,334.487393269163,84556.0063310531,1.05806739579022
Descent start,2706.06537819136,-9.82587042722203,16.3306790661558,171202.777701876,1500,42.6158626310982,278.4,334.487393269163,84556.0063310531,1.05806739579022
Descent end,2976.06537819136,-10.8907941353625,15.5538041450588,171202.777701876,15,39.6344338822034,288.0525,340.236547600122,101144.932645919,1.22323692099132
TransitionDown start,2977.06537819136,-13.6382506982239,15.5538041450588,171202.777701876,15,36.8839967585394,288.0525,340.236547600122,101144.932645919,1.22323692099132
TransitionDown end,3007.06537819136,79.8949082058899,15.8298735513408,171202.777701876,15,0,288.0525,340.236547600122,101144.932645919,1.22323692099132
Landing start,3008.06537819136,79.8949082058899,15.8298735513408,171202.777701876,15,0,288.0525,340.236547600122,101144.932645919,1.22323692099132
Landing end,3053.51992364591,79.8373932036201,16.8382845450877,171202.777701876,0,0,288.15,340.294124355681,101325,1.225
